filename,text,number,card name,type,description,instruction,card name_pl,description_pl,instruction_pl,card_name_it,description_it,instruction_it,card_name_ru,description_ru,instruction_ru,,,,,,,,
./log-card-000-adaptive-tinkerer-1.jpg,"o£ _ Adaptive Tinkerer
> ,\
> — off 3 p ZZ PaK = ty
You can be and accomplish
anything you want, and so can
your items. You ve learned to see
in them new forms and functions,
however temporary they may be.
Before skill checks, you may return
one item & to AIM to get GRD.",000,Adaptive Tinkerer,Adventurer status,"You can be and accomplish
anything you want, and so can
your items. You ve learned to see
in them new forms and functions,
however temporary they may be.","Before skill checks, you may return
one item & to AIM to get GRD.",Zaradny majsterkowicz,"Możesz być kim zechcesz i osiągnąć wszystko — tak samo jak twoje przedmioty.  
Nauczyłeś się dostrzegać w nich nowe kształty i funkcje, nawet jeśli tylko na chwilę.","Przed testem umiejętności możesz odłożyć jeden przedmiot, aby zyskać +1 do dowolnej kości.",Artigiano ingegnoso,"Puoi essere e ottenere qualsiasi cosa tu voglia, e così anche i tuoi oggetti. Hai imparato a scorgere in essi nuove forme e nuove funzioni, per quanto effimere possano essere.","Prima dei test abilità, puoi rimettere 1 oggetto & in AIM per ottenere GRD.",Находчивый мастер,"«Ты можешь быть и добиться чего угодно — как и твои предметы. Ты научился видеть в них новые формы и функции, пусть даже временные.»","«Перед проверкой навыка ты можешь вернуть 1 предмет & в AIM, чтобы получить GRD.»",,,,,,,,
./log-card-000-deep-intuition-1.jpg,"cy | Deep Intuition >
| „aaa na „PB 1,
ONE Se 8
Your imaginative, empathic nature
manifests in a peculiar understanding of
others and the world. When inspiration
strikes, your heart can guide you.
In H or © skill check, you
may discard to get (1%)
Then you may roll @.
1 - 3: Get GER.
4 - 12: Get GK) and
you may roll @ again.",000,Deep Intuition,Adventurer status,"Your imaginative, empathic nature
manifests in a peculiar understanding of
others and the world. When inspiration
strikes, your heart can guide you.","In H or © skill check, you
may discard to get (1%)
Then you may roll @.
1 - 3: Get GER.
4 - 12: Get GK) and
you may roll @ again.",Głęboka intuicja,"Twoja wyobraźnia i empatia tworzą niezwykły dar – umiejętność rozumienia innych i świata wokół.  
Gdy pojawia się natchnienie, to serce wskazuje ci właściwy kierunek.","Podczas testu Wiedzy lub Magii możesz odrzucić kartę, aby dodać jedną dodatkową kość.  
Następnie rzuć ponownie – jeśli wynik to 1–3, zyskaj mały sukces, jeśli 4–12, zyskaj pełny sukces i możesz rzucić jeszcze raz.",Intuizione profonda,"La tua immaginazione e la tua empatia si manifestano in una comprensione peculiare degli altri e del mondo. Quando arriva l’ispirazione, è il cuore a indicarti la via.","Durante un test H o ©, puoi scartare per ottenere (1%). Poi puoi tirare @. 1–3: Ottieni GER. 4–12: Ottieni GK) e puoi tirare @ di nuovo.",Глубокая интуиция,"«Твоя творческая и эмпатичная натура проявляется в необычном понимании других и мира. Когда приходит вдохновение, сердце может вести тебя.»","«В проверке навыка H или © ты можешь сбросить карту, чтобы получить (1%). Затем можешь бросить @. 1–3: получи GER. 4–12: получи GK) и можешь бросить @ ещё раз.»",,,,,,,,
./log-card-000-dynamic-duo-1.jpg,"CY Dynamic Duo |
You are an inseparable duo, and
when its time to go all out, few can
keep up with you. No river seems
too deep and no ocean too wide
when you face them together.
When you begin & scene,
you may discard to get
in all skill checks in the scene.",000,Dynamic Duo,Adventurer status,"You are an inseparable duo, and
when its time to go all out, few can
keep up with you. No river seems
too deep and no ocean too wide
when you face them together.","When you begin & scene,
you may discard to get
in all skill checks in the scene.",Dynamiczny duet,"Jesteście nierozłączni — dwoje podróżników, jedna historia.  
Żadna rzeka nie jest zbyt głęboka, żadne morze zbyt szerokie, gdy stajecie naprzeciw im razem.","Na początku sceny możesz odrzucić kartę, aby uzyskać +1 do wszystkich testów umiejętności w tej scenie.",Duo dinamico,"Siete un duo inseparabile e, quando è il momento di dare tutto, pochi riescono a starvi dietro. Nessun fiume sembra troppo profondo e nessun oceano troppo vasto quando li affrontate insieme.","Quando inizi una scena &, puoi scartare per ottenere +1 a tutti i test abilità nella scena.",Динамичный дуэт,"«Вы — неразлучная пара, и когда нужно выложиться по полной, мало кто успевает за вами. Ни одна река не кажется слишком глубокой и ни один океан — слишком широким, когда вы встречаете их вместе.»","«Когда ты начинаешь сцену &, ты можешь сбросить карту, чтобы получить +1 ко всем проверкам навыков в этой сцене.»",,,,,,,,
./log-card-000-early-bird-1.jpg,"CH _ Sarly Bird |
; a j suszy AI
Ą ZP © a
z z? oe > =
U MD Say TD |
You ve grown to be a great adventurer,
seizing the chance to leave your mark
on the world, starting every new leg of
Jour journey with unmatched energy.
In skill checks, you may
hasten 1 to get GRD.",000,Early Bird,Adventurer status,"You ve grown to be a great adventurer,
seizing the chance to leave your mark
on the world, starting every new leg of
Jour journey with unmatched energy.","In skill checks, you may
hasten 1 to get GRD.",Ranny ptaszek,"Z czasem stałeś się prawdziwym poszukiwaczem przygód, pełnym zapału i energii.  
Każdy nowy etap podróży zaczynasz z iskrą, która potrafi porwać innych do działania.","W testach umiejętności możesz poświęcić 1 punkt szybkości, aby zyskać dodatkową kość.",Chi si alza presto,"Sei cresciuto fino a diventare un grande avventuriero, pronto a lasciare un segno nel mondo: inizi ogni nuova tappa del tuo viaggio con un’energia senza pari.","Nei test abilità, puoi accelerare 1 per ottenere GRD.",Ранняя пташка,"«Ты вырос в великого искателя приключений, ловящего шанс оставить след в мире, начиная каждый новый этап путешествия с непревзойдённой энергией.»","«В проверках навыков ты можешь ускориться на 1, чтобы получить GRD.»",,,,,,,,
./log-card-000-force-of-nature-1.jpg,"w force of Nature | 4
ae a Mae =
A power most ancient dwells deep within
you: the single-minded will of polecat

explorers, you being its latest champion.

Before a skill check, you may

discard to use the dice below

as your dice pool. You cannot

use the normal full reroll.
A 14 Bay
m P>ywouw/u/",000,Force Of Nature,Adventurer status,"A power most ancient dwells deep within
you: the single-minded will of polecat

explorers, you being its latest champion.","Before a skill check, you may
discard to use the dice below
as your dice pool. You cannot
use the normal full reroll.",Siła natury,"Prastara moc drzemie w tobie — wola nieujarzmionych odkrywców, których jesteś kolejnym ogniwem.  
Kiedy ją przywołujesz, świat odpowiada echem żywiołów.","Przed testem umiejętności możesz odrzucić kartę, aby użyć specjalnej puli kości zamiast zwykłej.  
Nie możesz wtedy wykonać pełnego przerzutu.",Forza della natura,Una potenza antichissima dimora nel profondo di te: la volontà ostinata degli esploratori puzzola… e tu ne sei l’ultimo campione.,"Prima di un test abilità, puoi scartare per usare i dadi qui sotto come tua riserva di dadi. Non puoi usare il normale reroll completo.",Сила природы,«Древнейшая мощь живёт глубоко в тебе: одержимая воля исследователей-хорьков — и ты её нынешний чемпион.»,"«Перед проверкой навыка ты можешь сбросить карту, чтобы использовать кубики ниже как свой пул кубиков. Нельзя использовать обычный полный переброс.»",,,,,,,,
./log-card-000-friendly-waves-1.jpg,"CY | Friendly Waves | &
Befriending the biggest fish of the
local pirate world has its perks.
Just a whisper in the right ear,
and you re on your way on one of
the swiftest vessels in Galzyr.
During your travel, you may
discard to transport your figure
from one © to any other ©.",000,Friendly Waves,Adventurer status,"Befriending the biggest fish of the
local pirate world has its perks.
Just a whisper in the right ear,
and you re on your way on one of
the swiftest vessels in Galzyr.","During your travel, you may
discard to transport your figure
from one © to any other ©.",Przyjazne fale,"Zaprzyjaźniłeś się z największymi rybami świata piratów.  
Czasem wystarczy szept do właściwego ucha, by znaleźć się na najszybszym statku w Galzyr.","Podczas podróży możesz odrzucić kartę, aby przenieść swoją figurkę z jednego miejsca na dowolne inne przez wodę.",Onde amiche,Essere amico del “pesce grosso” del mondo pirata locale ha i suoi vantaggi. Basta un sussurro all’orecchio giusto e sei in viaggio su una delle navi più veloci di Galzyr.,"Durante il tuo viaggio, puoi scartare per spostare la tua miniatura da un © a qualunque altro ©.",Дружелюбные волны,«Дружба с “самой большой рыбой” местного пиратского мира даёт свои преимущества. Шёпот в нужное ухо — и ты уже в пути на одном из самых быстрых судов Галзира.»,"«Во время путешествия ты можешь сбросить карту, чтобы переместить свою фигурку с одного © на любой другой ©.»",,,,,,,,
./log-card-000-lighten-the-load-1.jpg,"a: | Lighten the Load L
Your life has taught you the necessity of
being ready to let go. When you discard

the old, you open new opportunities
while staying light on your feet.
Once on each of your travels,
you may return an item & to FR
to get +2 movement.
2D 4
PEL }",000,Lighten The Load,Adventurer status,"Your life has taught you the necessity of
being ready to let go. When you discard
the old, you open new opportunities
while staying light on your feet.","Once on each of your travels,
you may return an item & to FR
to get +2 movement.",Lżejszy bagaż,"Życie nauczyło cię, że czasem trzeba odpuścić, by ruszyć dalej.  
Pozbywając się starego, otwierasz drogę nowym możliwościom — i stajesz się lżejszy.","Raz w czasie każdej podróży możesz odłożyć jeden przedmiot, aby zyskać +2 do ruchu.",Bagaglio più leggero,"La vita ti ha insegnato che bisogna essere pronti a lasciare andare. Quando scarti il vecchio, apri nuove opportunità… e resti leggero sui piedi.","Una volta per ciascuno dei tuoi viaggi, puoi rimettere 1 oggetto & in FR per ottenere +2 movimento.",Облегчить ношу,"«Жизнь научила тебя необходимости быть готовым отпускать. Когда ты избавляешься от старого, открываются новые возможности — и ты остаёшься лёгким на подъём.»","«Один раз в каждом твоём путешествии ты можешь вернуть 1 предмет & в FR, чтобы получить +2 к перемещению.»",,,,,,,,
./log-card-000-power-of-mind-1.jpg,"% | Power of Mind | <a
| hy } w ae Ę | | A is. 3 ; ż pa
o NEO „o =) Ę,
! ""NEC"" e 9.3 ©
Vee Ae. SE 07
(OBR „Ai. MOS
You ve spent decades honing your mind
into a weapon of analytical brilliance.
When truly tested, you find approaches
others could barely comprehend.
Before a skill check, you may
discard to replace the tested
skill with a skill of your choice.",000,Power Of Mind,Adventurer status,"You ve spent decades honing your mind
into a weapon of analytical brilliance.
When truly tested, you find approaches
others could barely comprehend.","Before a skill check, you may
discard to replace the tested
skill with a skill of your choice.",Moc umysłu,"Po latach treningu twój umysł stał się ostrzem — precyzyjnym i niezawodnym.  
W obliczu próby znajdujesz rozwiązania, których inni nawet nie potrafią pojąć.","Przed testem umiejętności możesz odrzucić kartę, aby zamienić testowaną umiejętność na dowolną inną.",Potere della mente,"Hai passato decenni ad affilare la mente fino a trasformarla in un’arma di brillante analisi. Quando vieni davvero messo alla prova, trovi approcci che altri faticherebbero perfino a immaginare.","Prima di un test abilità, puoi scartare per sostituire l’abilità testata con un’abilità a tua scelta.",Сила разума,"«Ты десятилетиями оттачивал ум до оружия аналитического блеска. В настоящем испытании ты находишь подходы, которые другим едва ли по силам понять.»","«Перед проверкой навыка ты можешь сбросить карту, чтобы заменить проверяемый навык на любой навык по твоему выбору.»",,,,,,,,
./log-card-000-reckless-potential-1.jpg,"Reckless Potential 3
AE. Oy s Sa AUD
7 of ALA % łe 5

You ve surpassed what was thought
possible a long time ago. Leveraging
all your strength and experience, you

break through your items limits as well.
After using an item & in a skill
check, you may use it again
one more time and roll ©.
1 - 6: Return the item & to ait.",000,Reckless Potential,Adventurer status,"You ve surpassed what was thought
possible a long time ago. Leveraging
all your strength and experience, you

break through your items limits as well.","After using an item & in a skill
check, you may use it again
one more time and roll ©.
1 - 6: Return the item & to ait.",Nieokiełznany potencjał,"Już dawno przekroczyłeś granice tego, co inni uważali za możliwe.  
Wykorzystując całą swoją siłę i doświadczenie, potrafisz przekraczać ograniczenia także swoich przedmiotów.","Po użyciu przedmiotu w teście umiejętności możesz użyć go ponownie i rzucić kością.  
Jeśli wypadnie 1–6, odłóż przedmiot z powrotem do zasobów.",Potenziale indomito,"Hai superato da tempo ciò che si credeva impossibile. Con forza ed esperienza, infrangi anche i limiti dei tuoi oggetti.","Dopo aver usato un oggetto & in un test abilità, puoi usarlo di nuovo un’altra volta e tirare ©. 1–6: Rimetti l’oggetto & in ait.",Безрассудный потенциал,"«Ты давно превзошёл то, что считалось возможным. Используя всю силу и опыт, ты умеешь ломать лимиты и своих предметов.»",«После использования предмета & в проверке навыка ты можешь использовать его ещё один раз и бросить ©. 1–6: верни предмет & в ait.»,,,,,,,,
./log-card-000-shady-contacts-1.jpg,"—
CY Shady Contacts | ©
You ve made contact with a web of
smugglers, black marketeers, and
other shadowy salesfolk. Turning
an unneeded item into gold takes
only a touch of clandestine effort.
Once on each of your travels,
at @, you may return an
item X to Hk to gain 3 ©.",000,Shady Contacts,Adventurer status,"You ve made contact with a web of
smugglers, black marketeers, and
other shadowy salesfolk. Turning
an unneeded item into gold takes
only a touch of clandestine effort.","Once on each of your travels,
at @, you may return an
item X to Hk to gain 3 ©.",Ciemne układy,"Nawiązałeś kontakt z siecią przemytników i handlarzy z cienia.  
Zamiana zbędnego towaru w złoto wymaga tylko odrobiny dyskrecji.","Raz w czasie każdej podróży, gdy odwiedzasz miasto, możesz oddać przedmiot, aby zyskać 3 monety.",Accordi nell’ombra,"Hai contatti con una rete di contrabbandieri, trafficanti e venditori d’ombra. Trasformare un oggetto inutile in oro richiede solo un tocco di discrezione.","Una volta per ciascuno dei tuoi viaggi, in @, puoi rimettere un oggetto X in Hk per ottenere 3 ©.",Тёмные связи,"«Ты связался с сетью контрабандистов, торговцев чёрного рынка и прочих теневых дельцов. Превратить ненужный предмет в золото — дело пары скрытных движений.»","«Один раз в каждом твоём путешествии, в @, ты можешь вернуть предмет X в Hk, чтобы получить 3 ©.»",,,,,,,,
